,AdrActCnt,CapMVRVCur,HashRate,PriceUSD,times,OneDayReturn,NextDayReturn
2159,252787.0,1.12671295897859,300382.460137881,379.161645821157,2014-12-02,0.0047525390215592545,-0.24844073720115953
2160,226744.0,1.11778312687429,230698.727588578,376.118992402104,2014-12-03,-0.008024686707073014,-0.5406521787884729
2161,227387.0,1.09662004023943,290362.191620107,367.79759672706,2014-12-04,-0.02212436979557708,0.38667399989540685
2162,227490.0,1.1214018076808,310250.01296395,376.117415546464,2014-12-05,0.022620644869460804,-0.16040084900469104
2163,186079.0,1.11726211030946,272463.152410648,374.696964056108,2014-12-06,-0.0037766171723055963,0.02710348396995793
2164,259501.0,1.1232855490264,250586.548932421,376.671907656341,2014-12-07,0.0052707755591454575,-0.8036355023558645
2165,242048.0,1.09195141034342,324171.48790464,363.558546756283,2014-12-08,-0.03481374807494808,-0.80650168779174
2166,225674.0,1.05406067460163,282407.06308257,350.851431618936,2014-12-09,-0.034952046240479206,-0.24987353099140372
2167,223236.0,1.04787077974857,284395.845216954,348.011702805377,2014-12-10,-0.008093821366085274,-0.026891804530335833
2168,217332.0,1.05133719876869,294339.755888875,348.939298071303,2014-12-11,0.0026654140031743268,0.19117974919254116
2169,217065.0,1.0655537302322,280418.280948185,353.541013734658,2014-12-12,0.01318772545480007,-0.226225745817773
2170,180986.0,1.05839087344921,290362.191620107,351.082921975453,2014-12-13,-0.006952776803004435,0.27550942116543575
2171,284878.0,1.07677013680156,280418.280948185,357.141479544126,2014-12-14,0.017256770949105382,-0.6180098872989062
2172,248144.0,1.04976589444789,280418.280948185,347.906869959088,2014-12-15,-0.02585700657572887,-1.1161456727062664
2173,252332.0,0.998202977310853,284395.845216954,330.548794856809,2014-12-16,-0.04989287824158284,-0.6577321104159576
2174,242691.0,0.971483725811543,251585.071833534,321.368241963764,2014-12-17,-0.027773669230958697,-0.4756328039210327
2175,238736.0,0.954240392979737,253027.240872936,315.266398111046,2014-12-18,-0.0189870779247876,0.11267115319336864
2176,223509.0,0.964168205728301,268718.852710017,318.229762419638,2014-12-19,0.009399556458751457,0.7511099216525517
2177,251036.0,1.00353331680041,262834.498271112,331.02427849211,2014-12-20,0.04020527802047735,-0.6986387906433529
2178,237992.0,0.976235597354336,258911.595311842,321.177139099941,2014-12-21,-0.02974748389158932,0.5885579158671742
