,AdrActCnt,AdrActRecCnt,AdrActSentCnt,AdrBalAdjCnt,AdrBalCnt,BlkCnt,BlkIntMean,BlkSizeMeanByte,CapAct1yrUSD,CapFutExp10yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeRevPct,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContPctDay,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,RevAllTimeUSD,RevUSD,SplyAct180d,SplyAct1yr,SplyAct30d,SplyActPct1yr,SplyCur,SplyExpFut10yr,TxCnt,TxCntSec,TxMeanByte,TxTfr,TxTfrMeanByte,TxTfrValAdjByte,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValDayDst,TxTfrValDayDstMean,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,UTXOCnt,VelAct1yr,VelActAdj1yr,VelCur1yr,VelCurAdj1yr,times,OneDayReturn
54,6177,2789,4772,2561689,16635325,150,575.624161073825,15833.06,6.54159253916947e8,1.77118847968435e9,3.63661483423764,1.52370963828074e9,4.18991206859596452187728161388e8,1.35637059786527e11,3.33333468756046e-5,2.89321049611827e-3,3.99e-6,3.46317155687731e-4,9.18849270510065e-3,0.17230007,14.9550050544353,1011383.22206377,1875,3.89845954722951,1.06807110883e-2,1875,162743.024289347,201.111428986132,,2.1742059058901e-2,86.7962796209853,8709654.440487,162757.979294402,6131406.94489501,7536719.96972076,2795263.59575543,42.9320152266713,1.755501093980467e7,2.0406271875e7,5169,5.98263888888889e-2,459.461984910041,9933,239.097855632739,3.19013708853437,87289.97167543,7576444.78964851,1458634.77077522,146.847354351678,129.476727091001,11238.0982090005,5.71255e-4,4.9582808714886e-2,1286092.33019491,1.11628029510002e8,42647724,23.0793408611988,3.25121993516096,9.90842613274527,1.39581423761588,2019-01-08T00:00:00.000Z,-0.006170382676828234
55,5869,3604,3839,2561702,16634797,139,618.463768115942,9734.59712230216,6.51214880366329e8,1.76454132271949e9,3.61856915356599,1.51812533845207e9,4.19537467442345733179624654292e8,1.39111589599692e11,1.25044713235294e-4,1.08125686400781e-2,2.76e-6,2.38656146865332e-4,1.95715138446074e-2,0.34012162,29.4101867010126,961223.173237383,1737.5,3.61221499626987,9.89647944183525e-3,1737.5,150240.962021201,115.217393523872,,2.15977372363265e-2,86.4696184294682,8859924.8126949,150270.372207902,6131536.50162379,7531140.90468103,2716753.54543835,42.8959891434477,1.755674843980467e7,2.04064890625e7,2720,3.14814814814815e-2,497.466544117647,7042,192.148395342232,9.73770917861631,152379.32314592,1.31761819289683e7,2101680.02044832,298.449307078716,137.159967715043,11860.1700721179,1.049688e-2,0.907661208299916,965880.49264933,8.35193176478543e7,42647358,23.2246895739958,3.27386166936575,9.96246031826067,1.40435534626263,2019-01-09T00:00:00.000Z,-0.0037635390934213087
56,4914,3232,2946,2561420,16634436,136,620.414814814815,7768.16911764706,5.63997393694615e8,1.52904018716944e9,3.16942357171122,1.31562532075932e9,4.15099241547255674413601534259e8,1.29641411152383e11,1.26638930762489e-4,9.48884432905343e-3,3.66e-6,2.74237709014379e-4,1.69965248080093e-2,0.28899004,21.6535427588999,876453.292482883,1700,3.5339113369114,9.68194886825041e-3,1700,127378.170853673,44.0529166589298,,2.06638831006155e-2,74.9283357962784,8987324.63709133,127399.824396432,6134508.49518144,7527157.61935591,2361821.5090268,42.8691501140385,1.755844843980467e7,2.04067015625e7,2282,2.6412037037037e-2,462.958369851008,5930,178.156998313659,28.2683184867537,398576.29804054,2.98646587000191e7,3670031.74845013,618.89236904724,366.905150531164,27491.5923243831,4.0e-2,2.99713343185114,2175747.5426498,1.63025142483592e8,42647640,23.5260328196823,3.32854592655816,10.0854103253476,1.42691934987093,2019-01-10T00:00:00.000Z,-0.1334721124345405
57,3640,2436,2353,2561308,16634393,139,623.934782608696,6957.05755395683,5.57306837517334e8,1.51119604185745e9,3.13144713880788,1.30038659003891e9,4.15266977980652643334583031926e8,1.28729418854469e11,2.55659223300971e-5,1.89323636287216e-3,3.68e-6,2.72515488602874e-4,3.48567245347479e-3,6.056567e-2,4.48507694364414,889485.202752448,1737.5,3.6115078859299,9.89454215323262e-3,1737.5,128667.299306384,43.6763325670697,,2.03858480280796e-2,74.053121902955,9115996.42147466,128671.784383328,6143586.63246392,7525771.00324916,2311337.68047567,42.8570120444458,1.756018593980467e7,2.040691875e7,2369,2.74189814814815e-2,408.202195018995,4872,198.487479474548,30.7883150281019,402052.6657736,2.97732550699404e7,6475749.05937648,1329.17673632522,338.482748877908,25065.7042647031,4.999771e-2,3.70248651349859,1649087.95253317,1.22120111177633e8,42647160,23.7494929180354,3.38258265993628,10.1783230403772,1.44967385798223,2019-01-11T00:00:00.000Z,-0.011680679732471444
58,4034,2552,2689,2560988,16634118,171,500.005882352941,6139.00584795322,6.15929553314829e8,1.67214515588788e9,3.4549474015047,1.43903986350424e9,4.16515708134227936107387690463e8,1.3782587810385e11,4.09387886323268e-5,3.35448490101077e-3,4.03e-6,3.30214317587273e-4,5.39118021328185e-3,0.11524269,9.44287499634532,1171582.82718457,2137.5,4.44239341493803,1.21709408628439e-2,2137.5,175144.69077985,89.9637238378418,,2.26455664399253e-2,81.9390366221521,9291150.55512951,175154.133654846,6139475.82509427,7516924.51737117,2259098.58920806,42.8014239866133,1.756232343980467e7,2.04071859375e7,2815,3.25810185185185e-2,372.920071047957,5820,180.372852233677,15.2374131580647,195215.61236683,1.59957792109415e7,1358213.32655687,233.369987380906,248.180452291055,20335.667169179,3.966297e-2,3.24994555137332,1444410.23233394,1.18353582924622e8,42647311,23.9695975342543,3.41253368333406,10.259329068521,1.4606130104898,2019-01-12T00:00:00.000Z,0.10648996985611792
59,4654,2536,3198,2560095,16633604,125,683.387096774194,7888.168,5.76663808333659e8,1.56602009923673e9,3.26397295346271,1.34781616835014e9,4.12937296836438930940404041304e8,1.6534915124271e11,4.30931857951621e-5,3.30688167524515e-3,3.45e-6,2.64745842505721e-4,5.35843669617531e-3,8.373006e-2,6.42527109500132,1027443.86141319,1562.5,3.24707471885543,8.89609512015185e-3,1562.5,119903.008381214,38.9129182682923,,2.18537485806658e-2,76.7379253639771,9411059.98878182,119909.433652309,6142818.78567445,7514717.20923486,2043806.52388029,42.785049020413,1.756388593980467e7,2.040738125e7,1943,2.24884259259259e-2,507.473494595986,4294,229.627619934793,35.1277792936925,451363.88432004,3.4636728066946e7,1.18264534023198e7,2754.1810438565,231.117247092648,17735.4580577235,7.4478985e-2,5.71536279211477,992417.45901583,7.61560568998646e7,42646039,24.1087013378403,3.4736000395132,10.3149196855799,1.48618147967881,2019-01-13T00:00:00.000Z,-0.06347537721439223
60,4226,2274,2998,2559665,16632869,145,588.763888888889,6136.76551724138,5.98970408768662e8,1.62767788541761e9,3.38819992198144,1.40101177732708e9,4.13497376066215099004889653432e8,1.35408677241766e11,4.88551325178389e-5,3.896606575305e-3,3.73e-6,2.97498784197968e-4,5.28820419624345e-3,9.585377e-2,7.64514210074842,976024.269102556,1812.5,3.76621802012079,1.03184055345775e-2,1812.5,144562.076771801,81.5448533181467,,2.17579126423272e-2,79.7583871844417,9555629.71069572,144569.721913901,6147198.13778987,7509810.9416824,2029826.84332827,42.7527033292615,1.756569843980467e7,2.04076078125e7,1962,2.27083333333333e-2,453.532619775739,4209,211.411499168449,19.3080181587885,215411.49103883,1.71808731062529e7,8042918.68802796,1910.88588453979,230.50032461732,18384.3341369677,5.823886e-2,4.64503754506049,970175.8663143,7.73796623824971e7,42645112,24.2536396876699,3.50455340225536,10.3690866222175,1.49829131908177,2019-01-14T00:00:00.000Z,0.0393607438061192
61,4239,2510,2680,2559468,16632595,148,578.761904761905,5668.85810810811,5.74275353074869e8,1.56226702236103e9,3.2538476531161,1.34483624195509e9,4.13306456025126513072453579353e8,1.47371686139324e11,3.90390789473684e-5,2.9885312911396e-3,3.8e-6,2.90898740762838e-4,3.68852934789938e-3,6.824031e-2,5.22395269691202,1084231.16555632,1850,3.84373495433213,1.05307806968003e-2,1850,141621.755371382,69.3937773555402,,2.13591207264162e-2,76.5523002007468,9697256.6900198,141626.979324078,6147159.43840458,7501738.70110916,1997113.17477564,42.7022514086921,1.756754843980467e7,2.04078390625e7,1748,2.02314814814815e-2,479.971967963387,4059,206.69894062577,23.0989146374182,253157.40271346,1.93797814905621e7,2128008.38118574,524.269125692471,311.537746943826,23848.9311279081,7.3632e-2,5.63669896838139,1264531.71484499,9.68028114481788e7,42644635,24.4483029500633,3.54207097146057,10.4399757908947,1.5125440513074,2019-01-15T00:00:00.000Z,-0.04019749015587304
62,4231,2883,2705,2559473,16632591,135,638.589552238806,6727.55555555556,5.79423644827281e8,1.57566533786621e9,3.27383366102867,1.35648609657186e9,4.14341789174969545239369246028e8,1.48509969770865e11,4.58990498310811e-5,3.54377521908405e-3,2.78e-6,2.1463832356683e-4,6.44041185090273e-3,0.10868895,8.39165971879102,996633.536399712,1687.5,3.50577282990741,9.60485706823948e-3,1687.5,130288.550726268,55.0024885954496,,2.14101576250418e-2,77.2080300600109,9827553.63240579,130296.942385987,6153855.2383004,7504707.01527959,1833913.68110667,42.7150448715701,1.756923593980467e7,20408050,2368,2.74074074074074e-2,383.538851351351,4849,187.300474324603,27.154508462402,319426.20031302,2.46622676757227e7,7649910.12383823,1577.62634024298,248.187855658987,19162.0954202487,1.0e-2,0.772080300600109,1203462.91209043,9.29170006927862e7,42644643,24.5989940650793,3.58323343392936,10.5074713528535,1.53057976915603,2019-01-16T00:00:00.000Z,0.008565776045194484
63,60252,58067,3650,2559368,16686856,152,561.119205298013,23169.0657894737,5.78647544530479e8,1.57692760194762e9,3.27352404775505,1.35770378876973e9,4.14752960101463485280028988763e8,1.30744203577715e11,5.11367810457516e-5,3.95128702032435e-3,4.09e-6,3.16030136872865e-4,9.88187917760527e-3,0.18777426,14.509125938631,987898.101078632,1900,3.94681369705293,1.08131882111039e-2,1900,146811.066028959,73.6065514384373,,2.12218287571189e-2,77.2689821205048,9974379.20756069,146825.575154898,6156716.0842114,7488742.94251799,1807070.78903077,42.6195720536964,1.757113593980467e7,2.04082875e7,3672,4.25e-2,959.068082788671,60976,57.7554775649436,5.23764969192277,238717.01086962,1.8445420444745e7,2471199.9360311,40.5274195754248,13.5419708309507,1046.37430201313,5.46e-6,4.21888642377956e-4,825735.21338805,6.38037194395524e7,42697117,24.7616963174944,3.62274874543119,10.553329003752,1.54400001188343,2019-01-17T00:00:00.000Z,0.0007894523464273551
64,3172,2230,1985,2559311,16687055,132,652.083969465649,16794.553030303,5.6070764848241e8,1.5302452489321e9,3.17002871961826,1.31762160031467e9,4.15649735966222142410706544399e8,1.38925718655144e11,1.19761415791521e-5,8.97980712174592e-4,2.6e-6,1.94950087740966e-4,5.59798842589399e-3,9.237198e-2,6.92612523300262,911596.611134522,1650,3.42717427995196,9.38951857521085e-3,1650,123718.324912536,71.5249237999633,,2.07800527610089e-2,74.9808029772948,1.00981044585985e7,123725.251037769,6159795.13253004,7478016.05501878,1798534.09507449,42.5545276692872,1.757278593980467e7,2.040849375e7,7713,8.92708333333333e-2,287.42136652405,15818,140.149260336326,8.30980668601368,245687.58701444,1.84218525558967e7,3848496.80979198,243.298571866986,54.6760538257776,4099.6544194866,5.226e-5,3.91849676359343e-3,864865.81941615,6.4848333607439e7,42696754,24.9128703376872,3.66080006855634,10.6015543010647,1.55783617809109,2019-01-18T00:00:00.000Z,-0.029613165340284575
65,2533,1836,1418,2559242,16687358,150,565.791946308725,6923.12666666667,5.72328802203503e8,1.56366942262432e9,3.23757038180023,1.34652976688437e9,4.15907488669216033873364261295e8,1.22581344719142e11,2.03433991301439e-5,1.5586640665315e-3,5.46e-6,4.18332538668615e-4,3.2429038989992e-3,6.080642e-2,4.65884689486264,914032.754632671,1875,3.89410073027336,1.06687691240366e-2,1875,143658.152015321,115.050951707356,,2.07829582842647e-2,76.6176810748379,1.02417672694607e7,143662.810862216,6156942.2969852,7469931.14610802,1745603.89016471,42.5039844108141,1.757466093980467e7,2.0408728125e7,2989,3.45949074074074e-2,347.430244228839,6412,161.957111665627,11.2702151362636,152755.45902921,1.17037690423405e7,743125.194815916,115.896006677467,104.711561132035,8022.75699566267,7.0327135e-2,5.38830200033707,671410.52997861,5.1441917856189e7,42696954,25.0297159685628,3.68521163146867,10.638626573349,1.56636177734495,2019-01-19T00:00:00.000Z,0.021830629075001662
66,4498,2103,3341,2558350,16686315,135,630.873134328358,14837.8888888889,5.52110504270554e8,1.51059288818008e9,3.13863051348591,1.30093518688235e9,4.14491346239245345339903950588e8,1.37391381908946e11,2.78501323760377e-5,2.06136202245895e-3,1.135e-5,8.40084299744277e-4,7.35519467502292e-3,0.12412804,9.18749053409953,922017.95632995,1687.5,3.50435417293562,9.60097033680992e-3,1687.5,124902.401393698,56.0133274114388,,2.09504679499124e-2,74.0162378629319,1.03666788583449e7,124911.588884232,6156229.29378959,7459315.95838454,1774291.00059582,42.4395088884995,1.757634843980467e7,2.04089390625e7,4457,5.15856481481482e-2,449.431231770249,11761,170.318425303971,11.5946703335169,313788.68658703,2.32254580651226e7,4964363.74238271,422.10388082499,98.3315044224649,7278.1280207531,8.449e-3,0.625363193703912,1156476.82351261,8.55980636520773e7,42696177,25.2203731233366,3.73252265862246,10.7034024933911,1.58406428547133,2019-01-20T00:00:00.000Z,-0.03395356235546976
67,5738,4466,2662,2558194,16688245,158,544.853503184713,13528.6518987342,5.50714146549776e8,1.51404713621985e9,3.14257250832988,1.30404075621071e9,4.14959639834609162838976808744e8,1.50424068565909e11,2.82620472440945e-5,2.09660844997294e-3,5.45e-6,4.04306027573433e-4,7.99573126460466e-3,0.15792832,11.7158480184488,1181464.11913716,1975,4.10093148228026,1.12354287185761e-2,1975,146514.569625235,91.8730211481644,,2.10002223589653e-2,74.1845922153088,1.05132051438182e7,146526.285473253,6155874.3955275,7423565.05716736,1663923.56274763,42.2313600189954,1.757832343980467e7,2.04091859375e7,5588,6.46759259259259e-2,382.520937723694,15567,137.311428020813,6.6403589758524,191332.81152751,1.41939466005769e7,5404859.31771267,347.19980199863,96.3515111437393,7147.79756352708,1.0e-3,7.41845922153088e-2,1499903.97397459,1.11269764671426e8,42699436,25.543877399742,3.77627170074518,10.7875268274958,1.59477089723714,2019-01-21T00:00:00.000Z,0.0022745597079476543
68,6324,5020,2346,2557978,16690843,138,621.321167883212,12284.4275362319,5.59060544752843e8,1.53844122910835e9,3.19263328017509,1.32516728855055e9,4.1507031101231740649916602428e8,1.41169965629354e11,3.38350913348946e-5,2.55045692255331e-3,6.41e-6,4.83179687968106e-4,8.37470959814264e-3,0.14447584,10.8904510593026,968428.39359562,1725,3.58147477326858,9.81225965279062e-3,1725,130028.855186425,73.41504598316,,2.10733494103776e-2,75.3790464848839,1.06432448894557e7,130039.745637484,6157750.93176589,7416657.15902833,1658659.37616553,42.1879222029648,1.758004843980467e7,2.04094015625e7,4270,4.94212962962963e-2,397.014285714286,13145,128.96546215291,10.6475974242186,239461.11051728,1.8050350181004e7,3649474.6052044,277.632149502046,93.4221387952666,7042.07174296568,2.0733e-4,1.5628337707711e-2,1228034.01446378,9.25680330612839e7,42703180,25.7332468808305,3.81207586494982,10.8563221743817,1.60823560022303,2019-01-22T00:00:00.000Z,0.01610110986535318
69,6260,4103,3410,2557306,16691495,136,615.222222222222,25474.8161764706,5.54907090576183e8,1.52850948752648e9,3.16865385534642,1.31672599074374e9,4.1554743776195363192905333851e8,1.43306227808094e11,3.15301885085206e-5,2.36134755567587e-3,1.011e-5,7.5715448962291e-4,1.2297115858731e-2,0.20907668,15.6580956416867,968835.606456584,1700,3.52922806360089,9.66911798246819e-3,1700,127315.789550836,73.2372708322075,,2.10780232980275e-2,74.8916409122562,1.07705763371022e7,127331.447646477,6161762.66723838,7409466.31448919,1656867.91596096,42.1429435187763,1.758174843954121e7,2.04096140625e7,6631,7.67476851851852e-2,522.481526164983,36702,94.3974442809656,5.1893538931995,240065.5873677,1.79789057645317e7,6697572.19690467,182.485210530889,20.0528808156087,1501.79314929884,1.0e-5,7.48916409122562e-4,735980.83169447,5.51188121655659e7,42723675,25.8575506525746,3.84817531137836,10.8971329668535,1.62173434797768,2019-01-23T00:00:00.000Z,-0.006466061795109779
