,Unnamed: 0,AdrActCnt,CapMVRVCur,HashRate,PriceUSD,times,OneDayReturn,NextDayReturn,return,b(t),P(b)
362,1821,129208.0,2.72404886879499,9862.27375529092,753.466618310345,2013-12-29,0.027131712383336115,0.017839132578000516,0.027131712383336115,1.0,0.5493434985175772
363,1822,152090.0,2.7694515538693305,10155.7938075317,766.9078092074809,2013-12-30,0.017839132578000516,0.0007658429880299522,0.017839132578000516,1.0,0.5493434985175772
364,1823,118420.0,2.76738721544078,10801.5379224615,767.4951401756281,2013-12-31,0.0007658429880299522,0.013741565687293678,0.0007658429880301743,1.0,0.5493434985175772
365,1824,96516.0,2.80526733451568,12034.3221418728,778.04172505903,2014-01-01,0.013741565687293678,0.04435366745891778,0.013741565687293456,1.0,0.5493434985175772
366,1825,138928.0,2.91680731603333,9425.136247148,812.550729001461,2014-01-02,0.04435366745891778,0.028558344950341263,0.04435366745891778,1.0,0.5493434985175772
367,1826,143832.0,2.98351430672289,11352.607912322099,835.755833009936,2014-01-03,0.028558344950341263,0.046472608711663366,0.028558344950341263,1.0,0.5493434985175772
368,1827,116229.0,3.06760366312525,9942.34605985975,874.595586815897,2014-01-04,0.046472608711663366,0.09580497343418216,0.046472608711663366,1.0,0.5493434985175772
369,1828,134802.0,3.32670489307373,13609.0268762619,958.386193776447,2014-01-05,0.09580497343418216,0.0013359981904430553,0.09580497343418215,1.0,0.5493434985175772
370,1829,179999.0,3.30848171098669,13115.4352279001,959.6665959970779,2014-01-06,0.0013359981904430553,-0.1165999287549868,0.0013359981904430551,1.0,0.5493434985175772
371,1830,141665.0,2.9155997692072404,12480.817394292,847.769539275278,2014-01-07,-0.1165999287549868,0.02624953091635573,-0.1165999287549867,-1.0,0.45065650148242276
372,1831,146348.0,2.9643639048913104,13609.0268762619,870.023092006429,2014-01-08,0.02624953091635573,0.006513449191416497,0.026249530916355734,1.0,0.5493434985175772
373,1832,134908.0,2.97375299678986,14596.2101729856,875.689943211572,2014-01-09,0.006513449191416497,0.017195010297434754,0.006513449191416498,1.0,0.5493434985175772
374,1833,128371.0,3.0181228069118,13185.9483205232,890.747440802455,2014-01-10,0.017195010297434754,0.0420296583933355,0.017195010297434754,1.0,0.5493434985175772
375,1834,130495.0,3.11607401850569,14807.7494508549,928.1852514541199,2014-01-11,0.0420296583933355,-0.016378115992969344,0.04202965839333528,1.0,0.5493434985175772
376,1835,115119.0,3.0486443910092,14596.2101729856,912.9833257428411,2014-01-12,-0.016378115992969344,-0.07296006143695477,-0.016378115992969122,-1.0,0.45065650148242276
377,1836,153853.0,2.82219424951589,14628.2406711142,846.372006205728,2014-01-13,-0.07296006143695477,0.006204911033793614,-0.07296006143695488,-1.0,0.45065650148242276
378,1837,129226.0,2.82849656220676,14411.335555181598,851.623669205728,2014-01-14,0.006204911033793614,0.034147554398901825,0.006204911033793614,1.0,0.5493434985175772
379,1838,135647.0,2.9055438182458198,16368.4305071198,880.704534777323,2014-01-15,0.034147554398901825,-0.02932419437288003,0.034147554398901825,1.0,0.5493434985175772
380,1839,130689.0,2.8101298794506904,16457.3893685716,854.8785838144361,2014-01-16,-0.02932419437288003,-0.037424993569259546,-0.02932419437287992,-1.0,0.45065650148242276
