,AdrActCnt,CapAct1yrUSD,PriceUSD,times,OneDayReturn,NextDayReturn
136,45042.0,11277020883.8942,0.362459667761075,2018-02-06,0.16233412625603538,-0.08819500864861196
137,6042.0,10282443929.5086,0.330492534228114,2018-02-07,-0.08819500864861196,0.0831352276406212
138,2429.0,11137277246.2902,0.357968106294694,2018-02-08,0.0831352276406212,0.05468233946869949
139,5062.0,11746289621.4289,0.377542639802068,2018-02-09,0.05468233946869949,0.014302105055854941
140,7637.0,11914286289.611,0.382942294299582,2018-02-10,0.014302105055854941,-0.08110999317410972
141,5819.0,10947918609.9863,0.351881847422865,2018-02-11,-0.08110999317410972,0.0546251420939341
142,7199.0,11545950219.6896,0.371103443338615,2018-02-12,0.0546251420939341,-0.04778977875837087
143,5946.0,10994171813.1355,0.353368491884993,2018-02-13,-0.04778977875837087,0.09988187736956511
144,5376.0,12092290333.955,0.388663600257718,2018-02-14,0.09988187736956511,0.002375180124325693
145,5498.0,12121011701.6138,0.389586746316099,2018-02-15,0.002375180124325693,0.007332826633622336
146,5516.0,12209892979.0459,0.392443518385592,2018-02-16,0.007332826633622336,0.05133633002072702
147,6376.0,12836704074.5359,0.41259012835993,2018-02-17,0.05133633002072702,-0.11549077262730678
148,5165.0,11354183202.9797,0.364939775657242,2018-02-18,-0.11549077262730678,0.025718108937971884
149,4804.0,11646191323.4956,0.374325336563394,2018-02-19,0.025718108937971884,-0.06989772851771126
150,4985.0,10832149004.1006,0.348160845810985,2018-02-20,-0.06989772851771126,-0.04909399843698825
151,4608.0,10300355497.824,0.33106823779092,2018-02-21,-0.04909399843698825,-0.05406613370686475
152,3987.0,9743455100.25044,0.31316865818042,2018-02-22,-0.05406613370686475,0.02514145697722725
153,4125.0,9988419757.46293,0.321042174526679,2018-02-23,0.02514145697722725,-0.06239979695701392
154,3738.0,9365144392.67582,0.301009208021576,2018-02-24,-0.06239979695701392,0.08617338467963975
155,5400.0,10172170583.0062,0.326948190296533,2018-02-25,0.08617338467963975,-0.006367406338181114
156,5921.0,10107400239.5629,0.324866378317382,2018-02-26,-0.006367406338181114,0.010363574864231673
157,5358.0,10212149038.6284,0.328233155349946,2018-02-27,0.010363574864231673,-0.07906244272157825
158,7728.0,9404751590.19763,0.302282240305768,2018-02-28,-0.07906244272157825,-0.0062937458293435
159,7501.0,9345560474.10081,0.300379752716559,2018-03-01,-0.0062937458293435,-0.03704873690883248
160,7745.0,8999319262.83027,0.289251062285423,2018-03-02,-0.03704873690883248,0.003971768940818299
161,5896.0,9035062479.56689,0.290399900670707,2018-03-03,0.003971768940818299,0.02912094496526829
162,5362.0,9298172036.79211,0.298856620196058,2018-03-04,0.02912094496526829,-0.01487396651371442
163,6731.0,9159871337.27811,0.29441143683486,2018-03-05,-0.01487396651371442,-0.058823869510820526
164,5229.0,8621052260.99816,0.277093016891993,2018-03-06,-0.058823869510820526,-0.12605540973377494
165,6081.0,7534321985.90175,0.242163943113305,2018-03-07,-0.12605540973377494,-0.1192504442706499
